ID,HND_TIME_SEC,HND_CNT_NUM,HND_WIDTH,HND_LENGTH
143-p02,342,79,3.43,4.47
143-p03,357,93,3.37,4.36
143-p10,300,84,3.42,4.03
144-p02,246,75,3.74,4.85
144-p04,266,80,3.63,4.72
144-p05,223,63,4.15,5.2
149-p01,693,173,2.46,3.3
149-p05,392,101,3.14,3.84
149-p06,417,126,3.18,3.7
151-p02,267,91,3.54,4.22
151-p04,267,87,3.4,4.03
151-p09,299,95,3.49,4.3
153-p03,235,75,3.79,4.58
153-p04,119,48,3.9,5.38
153-p06,230,82,3.16,4.32
154-p02,154,47,4,5.07
154-p04,237,91,3.44,4.18
154-p07,367,127,3.14,4.05
165-p03,377,120,3,4.09
165-p06,283,98,3.63,4.25
165-p07,243,88,3.67,4.4
168-p02,261,82,3.5,4.24
168-p04,263,90,3.56,4.16
168-p09,297,95,3.4,4.22
168-p10,280,91,3.38,4.05
174-p01,515,179,2.79,3.48
174-p07,484,154,2.99,3.66
174-p10,317,108,2.87,3.78
181-p01,353,117,3.13,3.94
181-p03,496,172,2.68,3.35
181-p08,299,102,3.07,3.87
182-p03,237,84,3.34,4.5
182-p04,269,91,3.34,4.4
182-p05,288,92,3.38,4.3
185-p01,192,67,3.5,4.39
185-p03,209,73,3.41,4.24
185-p05,273,97,3.24,4.24
185-p07,270,81,3.32,4.15
196-p05,240,92,3.49,4.5
196-p06,188,78,3.46,4.1
199-p01,303,117,2.91,3.84
199-p03,439,158,2.86,3.57
199-p05,378,122,2.97,3.87
204-p04,159,56,3.98,5.17
204-p07,233,94,3.53,4.67
204-p09,120,38,4.8,6.33
209-p01,569,167,2.75,3.51
209-p02,450,119,2.66,3.16
211-p03,122,40,3.82,4.81
211-p05,220,75,3.82,4.49
211-p08,265,82,3.6,4.73
214-p01,731,210,2.66,3.14
214-p03,735,226,2.49,3.31
214-p07,1022,303,2.46,3.03
219-p03,283,85,3.59,3.98
219-p04,250,86,3.34,4.26
219-p05,411,107,3.11,3.98
219-p10,288,85,3.68,4.29
220-p06,300,106,33.5,4.13
220-p09,258,73,3.45,4.25
220-p10,283,94,3.41,4.27
222-p01,429,148,2.77,3.28
222-p04,450,138,3.02,3.67
223-p02,287,107,3.23,4.2
223-p04,310,115,3,4.14
223-p05,301,101,3.18,4.24
224-p02,390,120,3.24,4.01
224-p03,430,158,2.85,3.5
224-p08,282,109,3.35,3.94
226-p03,206,63,3.85,4.9
226-p04,121,41,4.21,5.56
226-p08,135,41,3.91,5
229-p02,141,54,3.55,4.2
229-p04,183,68,3.34,3.9
229-p10,192,71,3.55,4.1
231-p08,238,79,3.67,4.71
231-p09,249,83,3.72,4.58
231-p10,225,67,3.78,4.85
239-p03,415,146,2.99,3.77
239-p04,251,94,3.42,4.15
239-p07,473,135,3.06,3.64
243-p04,373,111,3.1,3.69
243-p05,492,150,2.82,3.5
243-p08,612,185,2.89,3.56
254-p03,189,66,4.02,4.72
254-p04,218,80,3.71,4.33
254-p10,262,96,3.17,4.22
256-p05,251,82,3.18,3.86
256-p08,235,88,3.34,4.42
256-p09,275,90,3.22,4.2
268-p02,309,94,3.52,4.49
268-p04,235,83,3.64,4.59
268-p05,221,75,3.7,4.8
276-p01,414,155,2.85,3.36
276-p02,714,207,2.76,3.38
278-p02,246,97,3.34,4.22
278-p04,234,103,3.26,4.14
278-p05,174,76,3.39,4.54
280-p02,208,89,3.57,4.51
280-p04,259,111,3.15,4
280-p06,197,85,3.66,4.73
282-p02,217,93,3.46,4.31
282-p06,244,109,3.37,4.04
282-p08,196,73,3.26,4.36
284-p01,232,81,3.45,4.61
284-p03,217,88,3.29,4.43
284-p04,205,81,3.27,4.19
284-p08,191,74,3.64,4.82
287-p02,335,120,2.97,4.34
287-p03,314,106,3.04,4.02
287-p06,357,141,2.98,3.84
288-p01,234,86,3.32,4.37
288-p09,358,139,2.89,3.92
288-p10,592,227,2.7,3.34
292-p01,294,119,3.2,4.26
292-p02,264,117,3.21,4.14
292-p03,250,106,3.34,4.15
294-p01,179,63,4.32,5.52
294-p07,180,66,3.68,5.26
294-p08,136,53,4.25,5.08
